id,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
0,3,0,9,0,0,0,6,0,0,0,6,22,4,4,1,0,0
1,6,0,34,0,0,0,13,0,0,0,10,31,12,15,10,0,0
2,2,0,22,0,0,0,4,0,0,0,10,25,8,6,6,0,0
3,5,0,66,0,0,0,22,0,0,0,11,70,22,28,22,0,0
4,8,0,57,0,0,0,17,0,0,0,38,61,18,29,21,0,0
5,2,0,2,0,0,0,1,0,0,0,3,3,1,0,0,0,0
6,2,0,2,0,0,0,0,0,0,0,2,3,1,0,0,0,0
7,5,0,75,0,0,0,7,0,0,0,25,52,23,32,29,0,0
8,3,0,43,0,0,0,11,0,0,0,16,43,15,20,13,0,0
9,5,0,85,0,0,0,19,0,0,0,21,68,28,38,29,0,0
10,8,0,95,0,0,0,19,0,0,0,24,96,26,48,43,0,0
11,3,0,36,0,0,0,8,0,0,0,7,31,16,4,4,0,0
12,4,0,32,0,0,0,2,0,0,0,6,30,11,14,10,0,0
13,8,0,10,0,0,0,3,0,0,0,12,21,3,6,4,0,0
14,11,0,84,0,0,0,52,0,0,0,36,68,23,46,38,0,0
15,8,0,19,0,0,0,4,0,0,0,11,26,7,13,5,0,0
16,8,0,91,0,0,0,14,0,0,0,27,109,33,30,25,0,0
17,2,0,15,0,0,0,4,0,0,0,8,20,7,1,1,0,0
18,3,0,9,0,0,0,6,0,0,0,3,10,3,6,3,0,0
19,6,0,17,0,0,0,10,0,0,0,5,36,6,11,5,0,0
20,2,0,26,0,0,0,4,0,0,0,3,27,9,9,8,0,0
21,2,0,5,0,0,0,0,0,0,0,0,7,2,1,1,0,0
22,2,0,15,0,0,0,9,0,0,0,11,17,4,8,7,0,0
23,1,0,4,0,0,0,0,0,0,0,2,1,1,2,2,0,0
24,3,0,2,0,0,0,0,0,0,0,4,4,0,2,2,0,0
25,2,0,6,0,0,0,1,0,0,0,5,3,2,2,2,0,0
26,3,0,49,0,0,0,7,0,0,0,17,45,17,25,15,0,0
27,2,0,11,0,0,0,1,0,0,0,6,5,1,11,9,0,0
28,2,0,2,0,0,0,0,0,0,0,3,4,1,0,0,0,0
29,2,0,9,0,0,0,6,0,0,0,10,12,3,4,3,0,0
30,12,0,82,0,0,0,30,0,0,0,51,97,33,29,16,0,0
31,2,0,2,0,0,0,3,0,0,0,6,3,1,1,0,0,0
32,2,0,15,0,0,0,2,0,0,0,10,26,5,10,5,0,0
33,10,0,76,0,0,0,25,0,0,0,27,97,25,31,26,0,0
34,5,0,65,0,0,0,6,0,0,0,23,52,20,32,25,0,0
35,2,0,36,0,0,0,2,0,0,0,11,44,15,9,6,0,0
36,3,0,11,0,0,0,2,0,0,0,11,11,4,5,3,0,0
37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,11,0,43,0,0,0,7,0,0,0,25,45,18,14,7,0,0
39,6,0,137,0,0,0,12,0,0,0,21,74,44,59,49,0,0
40,2,0,6,0,0,0,5,0,0,0,3,4,2,6,2,0,0
41,2,0,19,0,0,0,3,0,0,0,7,16,7,9,5,0,0
42,6,0,43,0,0,0,17,0,0,0,11,40,14,17,15,0,0
43,11,0,93,0,0,0,10,0,0,0,50,86,38,34,17,0,0
44,8,0,101,0,0,0,13,0,0,0,26,89,32,45,37,0,0
45,4,0,30,0,0,0,11,0,0,0,15,32,9,20,12,0,0
46,12,0,42,0,0,0,12,0,0,0,34,37,16,14,10,0,0
47,7,0,9,0,0,0,4,0,0,0,8,12,3,10,3,0,0
48,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
49,3,0,9,0,0,0,5,0,0,0,14,17,2,9,5,0,0
50,2,0,18,0,0,0,5,0,0,0,12,24,7,5,4,0,0
51,6,0,48,0,0,0,15,0,0,0,29,61,21,15,6,0,0
52,2,0,7,0,0,0,0,0,0,0,3,9,3,2,1,0,0
53,1,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0
54,2,0,1,0,0,0,0,0,0,0,2,3,0,2,1,0,0
55,2,0,20,0,0,0,5,0,0,0,11,12,6,12,8,0,0
56,5,0,73,0,0,0,22,0,0,0,26,73,22,34,29,0,0
57,3,0,52,0,0,0,8,0,0,0,15,44,17,30,18,0,0
58,2,0,6,0,0,0,3,0,0,0,7,13,2,3,2,0,0
59,4,0,37,0,0,0,5,0,0,0,17,30,12,22,13,0,0
60,3,0,5,0,0,0,1,0,0,0,8,7,2,6,1,0,0
61,2,0,1,0,0,0,3,0,0,0,1,3,0,1,1,0,0
62,2,0,9,0,0,0,3,0,0,0,8,10,2,5,5,0,0
63,8,0,68,0,0,0,14,0,0,0,36,107,26,28,16,0,0
64,2,0,5,0,0,0,4,0,0,0,4,10,2,2,1,0,0
65,2,0,16,0,0,0,5,0,0,0,12,16,6,7,4,0,0
66,5,0,22,0,0,0,3,0,0,0,10,18,10,3,2,0,0
67,11,0,117,0,0,0,21,0,0,0,18,100,39,51,39,0,0
68,5,0,63,0,0,0,27,0,0,0,21,52,22,26,19,0,0
69,2,0,16,0,0,0,3,0,0,0,11,22,6,5,4,0,0
70,6,0,14,0,0,0,9,0,0,0,19,21,4,9,6,0,0
71,1,0,5,0,0,0,0,0,0,0,2,4,2,1,1,0,0
72,2,0,26,0,0,0,2,0,0,0,8,24,8,11,10,0,0
73,12,0,376,0,0,0,36,0,0,0,47,316,121,170,134,0,0
74,12,0,156,0,0,0,18,0,0,0,52,149,55,60,46,0,0
75,2,0,10,0,0,0,7,0,0,0,10,18,3,7,4,0,0
76,3,0,43,0,0,0,14,0,0,0,8,40,14,26,15,0,0
77,3,0,59,0,0,0,11,0,0,0,11,60,18,31,23,0,0
78,8,0,28,0,0,0,8,0,0,0,10,27,11,8,6,0,0
79,5,0,3,0,0,0,1,0,0,0,8,7,1,3,1,0,0
80,2,0,15,0,0,0,5,0,0,0,10,13,4,8,7,0,0
81,2,0,41,0,0,0,6,0,0,0,7,25,10,26,21,0,0
82,8,0,80,0,0,0,19,0,0,0,37,89,26,41,28,0,0
83,3,0,10,0,0,0,1,0,0,0,2,7,4,3,2,0,0
84,2,0,4,0,0,0,0,0,0,0,2,1,1,2,2,0,0
85,11,0,44,0,0,0,1,0,0,0,33,43,18,14,8,0,0
86,3,0,10,0,0,0,3,0,0,0,10,10,4,3,2,0,0
87,2,0,24,0,0,0,12,0,0,0,8,27,7,13,10,0,0
88,12,0,144,0,0,0,56,0,0,0,36,175,50,62,44,0,0
89,11,0,144,0,0,0,21,0,0,0,45,121,47,73,50,0,0
90,3,0,18,0,0,0,0,0,0,0,7,13,4,11,10,0,0
91,2,0,23,0,0,0,5,0,0,0,11,27,7,11,9,0,0
92,2,0,23,0,0,0,4,0,0,0,7,19,7,15,9,0,0
93,5,0,45,0,0,0,8,0,0,0,22,33,10,28,25,0,0
94,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
95,2,0,18,0,0,0,4,0,0,0,8,13,7,5,4,0,0
96,12,0,51,0,0,0,16,0,0,0,12,42,16,22,19,0,0
97,4,0,74,0,0,0,11,0,0,0,9,66,24,31,26,0,0
98,11,0,188,0,0,0,28,0,0,0,43,148,57,101,74,0,0
99,3,0,17,0,0,0,3,0,0,0,6,17,5,10,7,0,0
100,3,0,12,0,0,0,2,0,0,0,12,9,1,10,10,0,0
101,4,0,43,0,0,0,4,0,0,0,15,61,15,17,13,0,0
102,2,0,37,0,0,0,3,0,0,0,6,27,13,11,11,0,0
103,2,0,14,0,0,0,3,0,0,0,2,16,6,4,2,0,0
104,11,0,78,0,0,0,32,0,0,0,34,93,27,28,24,0,0
105,6,0,21,0,0,0,7,0,0,0,20,21,7,14,7,0,0
106,5,0,42,0,0,0,7,0,0,0,21,40,11,21,20,0,0
107,2,0,23,0,0,0,1,0,0,0,11,22,9,10,5,0,0
108,8,0,51,0,0,0,10,0,0,0,26,48,14,30,23,0,0
109,3,0,31,0,0,0,8,0,0,0,14,31,6,24,19,0,0
110,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
111,3,0,19,0,0,0,9,0,0,0,17,31,7,10,5,0,0
112,4,0,32,0,0,0,3,0,0,0,16,26,9,16,14,0,0
113,4,0,30,0,0,0,8,0,0,0,22,25,11,10,8,0,0
114,6,0,33,0,0,0,8,0,0,0,17,41,12,19,9,0,0
115,2,0,27,0,0,0,4,0,0,0,7,17,8,13,11,0,0
116,3,0,10,0,0,0,0,0,0,0,4,9,3,8,4,0,0
117,2,0,45,0,0,0,6,0,0,0,7,32,15,18,15,0,0
118,2,0,41,0,0,20,3,0,0,0,10,27,14,16,13,0,0
119,3,0,15,0,0,7,5,0,0,0,8,19,7,1,1,0,0
120,3,0,8,0,0,15,10,0,0,0,10,19,4,3,0,0,0
121,3,0,34,0,0,9,12,0,0,0,7,35,13,10,8,0,0
122,3,0,66,0,0,12,13,0,0,0,6,61,27,17,12,0,0
123,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
124,14,0,217,0,0,52,37,0,0,0,42,193,83,56,51,0,0
125,14,0,61,0,0,41,20,0,0,0,19,48,20,28,21,0,0
126,7,0,78,0,0,33,38,0,0,0,31,56,17,50,44,0,0
127,7,0,13,0,0,16,9,0,0,0,16,23,4,8,5,0,0
128,2,0,7,0,0,8,5,0,0,0,5,8,2,5,3,0,0
129,14,0,140,0,0,179,66,0,0,0,49,139,55,41,30,0,0
130,2,0,10,0,0,13,3,0,0,0,8,12,4,5,2,0,0
131,2,0,28,0,0,15,12,0,0,0,8,42,9,12,10,0,0
132,14,0,222,0,0,43,75,0,0,0,45,234,79,80,64,0,0
133,2,0,13,0,0,8,2,0,0,0,9,9,4,12,5,0,0
134,7,0,41,0,0,33,16,0,0,0,21,36,12,18,17,0,0
135,3,0,36,0,0,37,5,0,0,0,5,45,14,10,8,0,0
136,2,0,52,0,0,16,1,0,0,0,9,49,16,27,20,0,0
137,7,0,63,0,0,20,18,0,0,0,24,72,27,14,9,0,0
138,14,0,165,0,0,163,26,0,0,0,57,140,49,87,67,0,0
139,6,0,11,0,0,5,0,0,0,0,12,11,4,3,3,0,0
140,3,0,97,0,0,42,2,0,0,0,14,73,36,33,25,0,0
141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,7,0,42,0,0,47,17,0,0,0,37,39,17,10,8,0,0
143,7,0,54,0,0,27,19,0,0,0,30,52,24,8,6,0,0
144,2,0,7,0,0,4,2,0,0,0,4,10,1,7,5,0,0
145,2,0,2,0,0,3,0,0,0,0,6,6,1,0,0,0,0
146,2,0,10,0,0,2,3,0,0,0,8,13,3,5,4,0,0
147,3,0,35,0,0,12,11,0,0,0,10,36,17,4,1,0,0
148,14,0,85,0,0,19,20,0,0,0,14,76,31,34,23,0,0
149,7,0,2,0,0,3,1,0,0,0,5,3,0,4,2,0,0
150,7,0,20,0,0,7,6,0,0,0,11,20,6,11,8,0,0
151,14,0,157,0,0,126,40,0,0,0,68,107,48,78,61,0,0
152,7,0,50,0,0,21,7,0,0,0,19,43,18,22,14,0,0
153,8,0,13,0,0,6,2,0,0,0,7,18,6,3,1,0,0
154,3,0,23,0,0,20,10,0,0,0,15,26,9,10,5,0,0
155,2,0,2,0,0,3,3,0,0,0,3,6,1,0,0,0,0
156,1,0,4,0,0,5,2,0,0,0,3,4,2,3,0,0,0
157,2,0,4,0,0,1,1,0,0,0,2,5,1,2,2,0,0
158,3,0,3,0,0,6,4,0,0,0,6,7,0,5,3,0,0
159,2,0,3,0,0,0,2,0,0,0,3,7,1,1,1,0,0
160,2,0,4,0,0,2,0,0,0,0,1,3,2,0,0,0,0
161,1,0,5,0,0,1,0,0,0,0,3,6,2,1,1,0,0
162,13,0,68,0,0,20,23,0,0,0,40,67,24,23,20,0,0
163,2,0,44,0,0,18,8,0,0,0,4,36,17,16,10,0,0
164,2,0,13,0,0,7,4,0,0,0,5,13,6,3,1,0,0
165,3,0,4,0,0,11,9,0,0,0,11,15,2,0,0,0,0
166,14,0,74,0,0,83,78,0,0,0,50,80,25,53,24,0,0
167,2,0,26,0,0,10,8,0,0,0,9,25,11,5,4,0,0
168,13,0,33,0,0,35,9,0,0,0,26,41,12,12,9,0,0
169,3,0,26,0,0,14,3,0,0,0,9,29,12,4,2,0,0
170,2,0,22,0,0,21,3,0,0,0,6,26,6,11,10,0,0
171,7,0,168,0,0,74,9,0,0,0,25,152,62,55,44,0,0
172,7,0,109,0,0,67,17,0,0,0,35,96,39,47,31,0,0
173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,3,0,26,0,0,14,10,0,0,0,7,48,11,5,4,0,0
175,9,0,19,0,0,9,1,0,0,0,11,18,7,7,5,0,0
176,3,0,17,0,0,5,5,0,0,0,13,16,6,10,5,0,0
177,5,0,5,0,0,5,1,0,0,0,8,7,1,4,3,0,0
178,3,0,29,0,0,19,8,0,0,0,15,26,8,16,13,0,0
179,2,0,15,0,0,15,14,0,0,0,9,15,6,6,3,0,0
180,7,0,95,0,0,62,27,0,0,0,27,108,35,30,25,0,0
181,7,0,97,0,0,63,14,0,0,0,33,59,28,55,41,0,0
182,14,0,273,0,0,196,33,0,0,0,59,239,93,135,87,0,0
183,3,0,3,0,0,2,0,0,0,0,5,5,1,1,1,0,0
184,9,0,9,0,0,3,6,0,0,0,2,12,4,2,1,0,0
185,3,0,43,0,0,16,10,0,0,0,10,44,17,11,9,0,0
186,7,0,143,0,0,102,20,0,0,0,28,105,47,64,49,0,0
187,7,0,88,0,0,41,16,0,0,0,23,93,33,27,22,0,0
188,2,0,15,0,0,7,15,0,0,0,6,22,4,9,7,0,0
189,7,0,34,0,0,26,25,0,0,0,22,48,10,21,14,0,0
190,14,0,152,0,0,94,24,0,0,0,61,151,55,68,42,0,0
191,14,0,101,0,0,66,34,0,0,0,55,91,37,37,27,0,0
192,3,0,17,0,0,5,9,0,0,0,6,7,3,15,11,0,0
193,14,0,175,0,0,71,59,0,0,0,45,121,57,67,61,0,0
194,14,0,250,0,0,58,38,0,0,0,43,217,88,100,74,0,0
195,3,120,77,0,0,38,8,0,0,0,17,53,24,33,29,0,0
196,2,85,31,0,0,9,8,0,0,0,7,34,14,7,3,0,0
197,3,29,4,0,0,2,1,0,0,0,4,3,1,5,2,0,0
198,3,48,9,0,0,10,3,0,0,0,16,12,4,6,1,0,0
199,2,81,17,0,0,6,9,0,0,0,10,24,6,6,5,0,0
200,3,58,16,0,0,12,5,0,0,0,11,14,6,7,4,0,0
201,6,53,24,0,0,8,4,0,0,0,18,24,10,4,4,0,0
202,7,88,36,0,0,10,15,0,0,0,23,30,7,23,22,0,0
203,1,21,5,0,0,8,4,0,0,0,0,6,1,3,3,0,0
204,6,247,59,0,0,73,35,0,0,0,25,59,24,18,11,0,0
205,3,128,33,0,0,16,4,0,0,0,17,25,8,19,17,0,0
206,3,138,93,0,0,12,19,0,0,0,13,65,26,44,41,0,0
207,6,233,119,0,0,13,28,0,0,0,18,92,37,55,45,0,0
208,3,31,8,0,0,3,5,0,0,0,7,8,1,7,6,0,0
209,3,112,27,0,0,13,17,0,0,0,16,19,9,18,9,0,0
210,2,37,16,0,0,7,4,0,0,0,9,16,6,7,4,0,0
211,1,4,2,0,0,1,1,0,0,0,2,4,1,0,0,0,0
212,2,77,30,0,0,30,5,0,0,0,8,23,12,7,6,0,0
213,3,70,17,0,0,12,2,0,0,0,13,33,5,9,7,0,0
214,7,80,34,0,0,6,10,0,0,0,16,33,11,16,12,0,0
215,14,471,151,0,0,134,19,0,0,0,45,122,50,66,51,0,0
216,3,77,24,0,0,14,3,0,0,0,14,19,7,11,10,0,0
217,2,96,46,0,0,23,3,0,0,0,7,48,19,15,8,0,0
218,6,146,40,0,0,26,8,0,0,0,30,42,16,13,8,0,0
219,12,235,74,0,0,20,24,0,0,0,39,68,30,17,14,0,0
220,3,87,23,0,0,25,4,0,0,0,16,21,9,5,5,0,0
221,13,152,24,0,0,44,9,0,0,0,16,25,9,21,6,0,0
222,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,6,65,7,0,0,6,2,0,0,0,3,15,3,6,1,0,0
224,6,166,39,0,0,31,24,0,0,0,27,27,8,32,23,0,0
225,3,32,16,0,0,10,1,0,0,0,8,10,5,8,6,0,0
226,1,8,2,0,0,0,0,0,0,0,2,3,1,0,0,0,0
227,7,150,61,0,0,27,5,0,0,0,30,52,19,31,23,0,0
228,13,232,80,0,0,30,22,0,0,0,41,66,26,42,28,0,0
229,2,63,25,0,0,18,9,0,0,0,11,20,7,20,11,0,0
230,1,2,2,0,0,0,1,0,0,0,0,3,1,0,0,0,0
231,6,207,57,0,0,29,21,0,0,0,17,54,19,28,19,0,0
232,2,78,24,0,0,20,4,0,0,0,8,27,9,8,6,0,0
233,2,10,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
234,12,194,49,0,0,19,15,0,0,0,35,53,13,25,23,0,0
235,3,129,70,0,0,33,11,0,0,0,11,49,27,19,16,0,0
236,3,50,7,0,0,10,3,0,0,0,11,7,2,6,3,0,0
237,14,546,145,0,0,71,90,0,0,0,46,107,48,86,49,0,0
238,3,20,4,0,0,6,2,0,0,0,9,9,2,0,0,0,0
239,3,74,20,0,0,20,2,0,0,0,15,22,7,7,6,0,0
240,13,553,307,0,0,207,36,0,0,0,63,261,99,138,109,0,0
241,13,495,173,0,0,110,20,0,0,0,66,139,60,64,53,0,0
242,7,249,74,0,0,57,20,0,0,0,32,67,23,47,28,0,0
243,3,18,4,0,0,3,1,0,0,0,6,2,1,2,2,0,0
244,3,122,35,0,0,14,22,0,0,0,16,19,8,24,19,0,0
245,11,469,177,0,0,71,33,0,0,0,34,173,70,50,37,0,0
246,3,7,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
247,6,59,18,0,0,22,3,0,0,0,16,15,5,20,8,0,0
248,6,229,94,0,0,75,9,0,0,0,24,81,33,40,28,0,0
249,7,276,119,0,0,48,10,0,0,0,36,95,41,51,37,0,0
250,13,530,147,0,0,36,45,0,0,0,42,121,56,48,35,0,0
251,2,90,31,0,0,15,14,0,0,0,9,35,12,8,7,0,0
252,7,248,142,0,0,90,15,0,0,0,34,91,41,78,60,0,0
253,12,99,18,0,0,19,5,0,0,0,18,18,6,10,6,0,0
254,3,120,43,0,0,12,11,0,0,0,9,33,18,11,7,0,0
255,7,270,85,0,0,26,25,0,0,0,33,60,25,43,35,0,0
256,2,35,19,0,0,10,3,0,0,0,8,11,8,5,3,0,0
257,1,27,15,0,0,3,7,0,0,0,4,12,7,1,1,0,0
258,14,427,222,0,0,108,12,0,0,0,55,166,77,89,68,0,0
259,6,123,29,0,0,21,9,0,0,0,18,33,10,16,9,0,0
260,2,68,7,0,0,6,7,0,0,0,9,18,2,3,3,0,0
261,14,414,151,0,0,69,27,0,0,0,58,118,51,60,49,0,0
262,2,85,32,0,0,7,6,0,0,0,8,16,8,18,16,0,0
263,6,249,113,0,0,38,19,0,0,0,23,77,33,49,47,0,0
264,14,506,227,0,0,44,23,0,0,0,51,185,69,110,89,0,0
265,2,86,38,0,0,8,11,0,0,0,9,30,16,11,6,0,0
266,2,79,30,0,0,22,5,0,0,0,10,33,12,9,6,0,0
267,11,397,117,0,0,35,20,0,0,0,35,116,44,34,29,0,0
268,8,111,23,0,0,16,2,0,0,0,22,28,7,16,9,0,0
269,6,83,31,0,0,21,10,0,0,0,23,23,12,11,7,0,0
270,11,374,148,0,0,44,31,0,0,0,46,145,47,67,54,0,0
271,8,146,45,0,0,9,11,0,0,0,23,42,13,25,19,0,0
272,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,2,28,18,0,0,0,1,0,0,0,12,5,3,15,12,0,0
274,2,13,3,0,0,4,1,0,0,0,5,3,0,4,3,0,0
275,3,110,22,0,0,40,7,0,0,0,13,24,7,10,8,0,0
276,6,195,60,0,0,39,14,0,0,0,27,48,19,27,22,0,0
277,6,270,153,0,0,25,37,0,0,0,21,120,46,73,61,0,0
278,3,91,26,0,0,4,14,0,0,0,11,29,6,20,14,0,0
279,6,138,33,0,0,21,13,0,0,0,24,38,11,27,11,0,0
280,7,63,22,0,0,5,2,0,0,0,19,23,9,15,4,0,0
281,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
282,2,26,10,0,0,5,7,0,0,0,7,3,2,13,6,0,0
283,8,332,153,0,0,111,6,0,0,0,34,121,48,68,57,0,0
284,2,28,18,0,0,3,2,0,0,0,12,12,5,13,8,0,0
285,11,303,116,0,0,120,15,0,0,0,29,86,36,59,44,0,0
286,2,76,34,0,0,16,0,0,0,0,5,28,14,8,6,0,0
287,3,52,11,0,0,4,2,0,0,0,16,10,4,8,3,0,0
288,6,193,50,0,0,56,12,0,0,0,28,35,16,24,18,0,0
289,12,204,60,0,0,22,14,0,0,0,32,65,25,20,10,0,0
290,2,94,25,0,0,24,8,0,0,0,11,15,10,9,5,0,0
291,12,189,49,0,0,64,11,0,0,0,32,46,16,32,17,0,0
292,2,81,17,0,0,7,11,0,0,0,10,28,5,12,7,0,0
293,12,192,52,0,0,30,11,0,0,0,30,42,20,23,12,0,0
294,2,14,3,0,0,1,1,0,0,0,4,5,1,4,1,0,0
295,2,44,14,0,0,10,3,0,0,0,11,9,5,6,4,0,0
296,2,31,7,0,0,2,0,0,0,0,4,10,2,3,3,0,0
297,2,67,22,0,0,5,9,0,0,0,12,13,6,12,10,0,0
298,2,47,10,0,0,10,2,0,0,0,10,16,4,5,2,0,0
299,2,73,15,0,0,9,5,0,0,0,10,17,4,10,7,0,0
300,2,21,5,0,0,5,2,0,0,0,12,10,2,4,1,0,0
301,2,75,21,0,0,8,5,0,0,0,8,33,7,10,7,0,0
302,6,278,101,0,0,58,21,0,0,0,23,71,31,54,39,0,0
303,6,72,5,0,0,19,6,0,0,0,16,10,0,5,5,0,0
304,4,45,9,0,0,7,2,0,0,0,14,14,3,5,3,0,0
305,11,360,83,0,0,63,70,0,0,0,25,59,24,55,35,0,0
306,3,66,26,0,0,5,6,0,0,0,14,20,8,14,10,0,0
307,8,227,60,0,0,26,10,0,0,0,37,40,15,44,30,0,0
308,2,32,7,0,0,7,0,0,0,0,1,10,2,3,3,0,0
309,12,463,238,0,0,185,23,0,0,0,56,213,78,112,82,0,0
310,12,400,144,0,0,104,24,0,0,0,59,133,44,66,56,0,0
311,2,93,33,0,0,36,5,0,0,0,9,34,13,16,7,0,0
312,2,42,9,0,0,4,2,0,0,0,11,9,4,3,1,0,0
313,2,36,21,0,0,6,0,0,0,0,7,17,7,8,7,0,0
314,8,329,82,0,0,32,30,0,0,0,23,71,24,51,34,0,0
315,12,455,172,0,0,86,49,0,0,0,37,167,62,62,48,0,0
316,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
317,4,19,8,0,0,1,2,0,0,0,3,5,4,1,0,0,0
318,2,51,9,0,0,7,5,0,0,0,5,14,4,4,1,0,0
319,3,109,39,0,0,35,2,0,0,0,16,38,11,24,17,0,0
320,2,107,31,0,0,17,7,0,0,0,11,26,10,14,11,0,0
321,6,65,20,0,0,8,7,0,0,0,14,15,6,8,8,0,0
322,12,297,86,0,0,28,18,0,0,0,40,74,31,33,24,0,0
323,8,244,71,0,0,42,12,0,0,0,40,60,18,46,35,0,0
324,2,58,18,0,0,17,1,0,0,0,7,16,4,13,10,0,0
325,7,29,9,0,0,4,0,0,0,0,8,8,1,11,7,0,0
326,8,268,107,0,0,25,21,0,0,0,31,90,29,61,49,0,0
327,2,112,36,0,0,10,8,0,0,0,11,24,9,19,18,0,0
328,8,198,48,0,0,52,12,0,0,0,45,27,11,39,26,0,0
329,6,201,70,0,0,15,15,0,0,0,26,60,20,32,30,0,0
330,11,341,145,0,0,82,25,0,0,0,48,128,47,70,51,0,0
331,11,198,64,0,0,23,13,0,0,0,29,56,24,20,16,0,0
332,3,62,20,0,0,12,0,0,0,0,12,19,8,5,4,0,0
333,4,13,4,0,0,2,2,0,0,0,2,4,2,0,0,0,0
334,2,66,9,0,0,5,4,0,0,0,5,16,1,7,7,0,0
335,11,340,144,0,0,64,27,0,0,0,50,112,49,61,46,0,0
336,2,75,26,0,0,8,4,0,0,0,8,20,5,17,16,0,0
337,3,116,51,0,0,21,9,0,0,0,13,37,14,27,23,0,0
338,2,18,2,0,0,2,0,0,0,0,5,6,1,2,0,0,0
339,4,106,35,0,0,10,11,0,0,0,19,29,12,13,11,0,0
340,6,106,30,0,0,27,7,0,0,0,23,36,11,11,8,0,0
341,4,60,23,0,0,5,6,0,0,0,10,19,10,5,3,0,0
342,6,63,8,0,0,6,4,0,0,0,14,20,3,2,2,0,0
343,3,66,27,0,0,2,1,0,0,0,12,14,8,13,11,0,0
344,6,136,28,0,0,45,10,0,0,0,29,38,11,11,6,0,0
345,4,125,71,0,0,12,9,0,0,0,22,52,18,40,35,0,0
346,4,106,41,0,0,12,10,0,0,0,7,36,15,16,11,0,0
347,6,137,32,0,0,35,15,0,0,0,16,28,10,22,12,0,0
348,6,238,70,0,0,74,12,0,0,0,17,54,27,18,16,0,0
349,6,108,24,0,0,31,4,0,0,0,21,16,8,11,8,0,0
350,6,260,126,0,0,32,38,0,0,0,20,116,33,75,60,0,0
351,6,172,51,0,0,12,14,0,0,0,16,52,17,23,17,0,0
352,6,98,20,0,0,12,6,0,0,0,32,15,7,19,6,0,0
353,4,129,41,0,0,38,7,0,0,0,21,41,11,25,19,0,0
354,10,196,76,0,0,28,19,0,0,0,36,83,24,40,28,0,0
355,4,151,54,0,0,61,6,0,0,0,12,35,16,31,22,0,0
356,6,107,39,0,0,22,5,0,0,0,28,29,12,24,15,0,0
357,6,150,48,0,0,35,3,0,0,0,25,25,16,23,16,0,0
358,13,188,46,0,0,35,11,0,0,0,28,49,15,23,16,0,0
359,4,162,42,0,0,37,6,0,0,0,18,46,15,17,12,0,0
360,13,374,116,0,0,48,25,0,0,0,46,74,36,62,44,0,0
361,10,286,88,0,0,22,21,0,0,0,30,62,25,63,38,0,0
362,13,358,118,0,0,85,20,0,0,0,50,95,37,55,44,0,0
363,10,260,67,0,0,57,20,0,0,0,34,73,25,26,17,0,0
364,13,265,136,0,0,126,7,0,0,0,37,120,54,58,28,0,0
365,5,127,25,0,0,21,21,0,0,0,14,22,8,13,9,0,0
366,13,96,21,0,0,6,7,0,0,0,23,20,7,15,7,0,0
367,4,68,11,0,0,4,5,0,0,0,12,16,4,5,3,0,0
368,6,197,68,0,0,24,24,0,0,0,15,69,27,25,14,0,0
369,4,87,19,0,0,15,6,0,0,0,11,23,6,11,7,0,0
370,13,424,252,0,0,171,25,0,0,0,56,190,87,96,78,0,0
371,13,375,133,0,0,73,17,0,0,0,52,111,51,36,31,0,0
372,3,15,14,0,0,0,0,0,0,0,6,10,6,2,2,0,0
373,6,211,100,0,0,62,31,0,0,0,24,72,35,38,30,0,0
374,13,542,140,0,0,125,37,0,0,0,40,122,45,90,50,0,0
375,4,136,35,0,0,12,17,0,0,0,9,38,13,12,9,0,0
376,13,543,160,0,0,110,41,0,0,0,27,155,56,60,48,0,0
377,6,200,89,0,0,54,4,0,0,0,25,67,28,44,33,0,0
378,13,227,61,0,0,27,14,0,0,0,27,51,18,34,25,0,0
379,4,119,28,0,0,12,8,0,0,0,18,25,7,15,14,0,0
380,13,374,208,0,0,136,24,0,0,0,40,140,64,108,80,0,0
381,13,163,34,0,0,21,5,0,0,0,32,32,11,20,12,0,0
382,4,60,12,0,0,7,6,0,0,0,8,24,6,0,0,0,0
383,13,559,194,0,0,34,60,0,0,0,39,143,59,94,76,0,0
384,6,206,113,0,0,25,10,0,0,0,29,81,35,50,43,0,0
385,4,111,45,0,0,33,10,0,0,0,17,31,10,36,25,0,0
386,13,402,96,0,0,47,23,0,0,0,60,107,42,21,12,0,0
